,Id,PreMinedValue,ImageUrl,FullName,Name,Symbol,Algorithm,Url,SortOrder,FullyPremined,ProofType,TotalCoinSupply,TotalCoinsFreeFloat,SmartContractAddress,Sponsored,BuiltOn,CoinName
DUBI,715640,N/A,/media/27010453/dubi.png,Decentralized Universal Basic Income (DUBI),DUBI,DUBI,N/A,/coins/dubi/overview,2145,0,N/A,80473.663007100124198965,N/A,0xd4cffeef10f60eca581b5e1146b5aca4194a4c3b,False,7605,Decentralized Universal Basic Income
PRPS,715622,N/A,/media/27010452/prps.png,Purpose (PRPS),PRPS,PRPS,N/A,/coins/prps/overview,2144,0,N/A,999117066.210045663,N/A,0x7641b2Ca9DDD58adDf6e3381c1F994Aac5f1A32f,False,7605,Purpose
XBP,710087,N/A,/media/25792650/xbp.png,Black Pearl Coin (XBP),XBP,XBP,X13,/coins/xbp/overview,2127,0,PoW/PoS,50000000,N/A,N/A,False,N/A,Black Pearl Coin
BRO,234982,N/A,/media/9350701/bro.png,Bitradio (BRO),BRO,BRO,PoS,/coins/bro/overview,1503,0,PoS,N/A,N/A,N/A,False,N/A,Bitradio
WAN,240142,N/A,/media/9350742/wan.jpg,Wanchain (WAN),WAN,WAN,N/A,/coins/wan/overview,1519,0,PoS,N/A,N/A,N/A,False,N/A,Wanchain
CYDER,698206,N/A,/media/25792617/cyder.png,Cyder Coin (CYDER),CYDER,CYDER,PoS,/coins/cyder/overview,2114,0,N/A,80000000,N/A,N/A,False,N/A,Cyder Coin
ET4,685306,N/A,/media/25792581/et4.png,Eticket4 (ET4),ET4,ET4,N/A,/coins/et4/overview,2102,0,N/A,30000000,N/A,N/A,False,7605,Eticket4
TTT,243013,N/A,/media/9350755/ttt.jpg,Tap Project (TTT),TTT,TTT,N/A,/coins/ttt/overview,1528,0,N/A,1500000000,N/A,N/A,False,7605,Tap Project
HIVE,679566,N/A,/media/20780800/flat.png,Hive (HIVE),HIVE,HIVE,N/A,/coins/hive/overview,2089,0,N/A,N/A,N/A,0x895f5d0b8456b980786656a33f21642807d1471c,False,7605,Hive
KNC,310497,N/A,/media/12318084/knc.png,Kyber Network (KNC),KNC,KNC,N/A,/coins/knc/overview,1595,0,N/A,226000000,N/A,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,False,7605,Kyber Network
GNR,676163,N/A,/media/20780791/gnr.png,Gainer (GNR),GNR,GNR,N/A,/coins/gnr/overview,2084,0,PoS,40000000,N/A,N/A,False,N/A,Gainer
ADA,321992,N/A,/media/12318177/ada.png,Cardano (ADA),ADA,ADA,Ouroboros,/coins/ada/overview,1635,0,PoS,45000000000,N/A,N/A,False,N/A,Cardano
SET,675692,N/A,/media/20780787/set.png,Setcoin (SET),SET,SET,N/A,/coins/set/overview,2080,0,N/A,1000000000,N/A,N/A,False,20131,Setcoin
WISH*,326082,N/A,/media/12317980/wish.png,WishFinance (WISH*),WISH*,WISH*,N/A,/coins/wishstar/overview,1644,0,N/A,N/A,N/A,N/A,False,N/A,WishFinance
FLASH,326222,N/A,/media/12318206/flash.png,FLASH coin (FLASH),FLASH,FLASH,N/A,/coins/flash/overview,1645,0,N/A,900000000,N/A,N/A,False,N/A,FLASH coin
JINN,675359,N/A,/media/20780786/jinn.png,Jinn (JINN),JINN,JINN,N/A,/coins/jinn/overview,2079,0,N/A,1000000,N/A,N/A,False,1183,Jinn
XCS,340112,N/A,/media/12318323/xcs.png,CybCSec Coin (XCS),XCS,XCS,POS 3.0,/coins/xcs/overview,1698,0,PoS,N/A,N/A,N/A,False,N/A,CybCSec Coin
WPR,355242,N/A,/media/14543969/wpr.png,WePower (WPR),WPR,WPR,N/A,/coins/wpr/overview,1752,0,N/A,746403007.29,N/A,0x4CF488387F035FF08c371515562CBa712f9015d4,False,7605,WePower
KBR,674980,N/A,/media/20780782/kbr.png,Kubera Coin (KBR),KBR,KBR,N/A,/coins/kbr/overview,2075,0,N/A,1162102077,N/A,0xd5527579226e4ebc8864906e49d05d4458ccf47f,False,7605,Kubera Coin
ZAB,363992,N/A,/media/14761946/zab.png,ZABERcoin (ZAB),ZAB,ZAB,N/A,/coins/zab/overview,1770,0,N/A,10000000,N/A,N/A,False,7605,ZABERcoin
RMC,381323,N/A,/media/14913570/rmc.png,Russian Mining Coin (RMC),RMC,RMC,N/A,/coins/rmc/overview,1836,0,N/A,10756.8259,N/A,N/A,False,1182,Russian Mining Coin
BCD,409492,N/A,/media/16404872/bcd.png,Bitcoin Diamond (BCD),BCD,BCD,X13,/coins/bcd/overview,1895,0,PoW/PoS,210000000,N/A,N/A,False,N/A,Bitcoin Diamond
AUA,659663,N/A,/media/20780743/aua.png,ArubaCoin (AUA),AUA,AUA,N/A,/coins/aua/overview,2055,0,N/A,18000000,N/A,0xb29678a4805a7d787dc9589e179d27f7575bb9f7,False,N/A,ArubaCoin
TGT,472769,N/A,/media/16746629/tgt.png,TargetCoin (TGT),TGT,TGT,N/A,/coins/tgt/overview,1960,0,N/A,2000100000,N/A,0xac3da587eac229c9896d919abc235ca4fd7f72c1,False,7605,TargetCoin
PYP,491325,N/A,/media/16746650/pyp.png,PayPro (PYP),PYP,PYP,N/A,/coins/pyp/overview,1969,0,N/A,25000000,N/A,N/A,False,7605,PayPro
MNT*,521417,N/A,/media/16746688/mnt.png,Media Network Coin (MNT*),MNT*,MNT*,N/A,/coins/mntstar/overview,1981,0,N/A,125000000,N/A,N/A,False,7605,Media Network Coin
ETF,536137,N/A,/media/16746737/etf.png,EthereumFog (ETF),ETF,ETF,Ethash,/coins/etf/overview,1990,0,PoW,N/A,N/A,N/A,False,N/A,EthereumFog
EREAL,625216,N/A,/media/20780660/ereal.png,eREAL (EREAL),EREAL,EREAL,N/A,/coins/ereal/overview,2032,0,N/A,207000000,N/A,0x15f173b7aca7cd4a01d6f8360e65fb4491d270c1,False,7605,eREAL
LUX**,536278,N/A,/media/16746739/lux.png,Luxmi Coin (LUX**),LUX**,LUX**,N/A,/coins/luxstarstar/overview,1992,0,PoW/PoS,N/A,N/A,N/A,False,N/A,Luxmi Coin
